# Manual license overrides for Maven coordinates AND npm packages.
# These entries are the AUTHORITATIVE source — the POM parser
# (scripts/parse-pom-licenses.py) and the notice generator
# (scripts/generate-third-party-notice.py) both check this table FIRST and
# only fall back to upstream-declared metadata when no override matches.
#
# Use this to:
#   - Pin a canonical name/URL for packages whose declared license uses
#     inconsistent wording ("The Apache Software License, Version 2.0" vs
#     "Apache-2.0").
#   - Disambiguate dual-licensed projects when Kalium ships under one option.
#   - Cover packages that declare no license at all (the original trigger —
#     SLF4J, Guava's listenablefuture stubs, the ICU4J npm port, etc.).
#
# Schema (tab-separated, four columns):
#   groupId        artifactId     license_names   license_urls
#
# Row conventions by ecosystem:
#   - Maven: groupId is the real Maven groupId (e.g. com.google.guava).
#            Each entry covers ALL versions of <groupId>:<artifactId>.
#   - npm:   groupId is the literal string `npm`. artifactId is the package
#            name (`icu4j`) or scoped name (`@scope/pkg`).
#            Maven and npm rows live in disjoint key spaces (`gid:aid`
#            never collides) so consumers can use the same TSV without
#            ambiguity.
#
# Rows emitted from this table land in scan-pom-licenses.tsv (Maven side)
# or the npm sections of THIRD-PARTY-NOTICE.md (npm side) with the `source`
# column / field set to `override` so downstream consumers can audit
# provenance per package.
#
# How to update: when build/sbom/scan-pom-no-licenses.txt grows, when the
# upstream-declared metadata for a known package is wrong, or when an npm
# section in THIRD-PARTY-NOTICE.md shows "Verify manually", verify the
# license against the upstream project's documentation (LICENSE file in
# the repo, project website, etc.) and add a row here.
groupId	artifactId	license_names	license_urls
androidx.camera	camera-core	BSD 3-Clause License	https://opensource.org/licenses/BSD-3-Clause
com.google.auto.value	auto-value-annotations	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
com.google.guava	failureaccess	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
com.google.guava	guava	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
com.google.guava	listenablefuture	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
commons-io	commons-io	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
net.zetetic	sqlcipher-android	BSD 3-Clause License	https://www.zetetic.net/sqlcipher/license/
org.apache.commons	commons-math3	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
org.apache.tika	tika-core	The Apache Software License, Version 2.0	https://www.apache.org/licenses/LICENSE-2.0.txt
org.slf4j	slf4j-api	MIT License	https://www.slf4j.org/license.html
npm	icu4j	Unicode-DFS-2016	https://www.unicode.org/license.txt
